LINKID,M0_19,M0_24,M0_30,M0_40,M0_50,M4_19,M4_24,M4_30,M4_40,M4_50,M5_19,M5_24,M5_30,M5_40,M5_50,M6_19,M6_24,M6_30,M6_40,M6_50,M7_19,M7_24,M7_30,M7_40,M7_50,M8_19,M8_24,M8_30,M8_40,M8_50,M9_19,M9_24,M9_30,M9_40,M9_50
22410_24097,31,39,123,158,229,31,39,0,0,0,0,0,123,158,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22410_24109,31,39,123,158,229,31,39,0,0,0,0,0,123,158,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22413_24000,0,0,22,42,62,0,0,22,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22413_24323,0,0,0,105,98,0,0,0,105,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22413_26040,0,0,7,106,103,0,0,7,106,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22414_24109,31,39,171,254,327,31,39,23,56,53,0,0,147,197,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22414_24336,31,39,166,246,321,31,39,18,48,47,0,0,147,197,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22416_22417,452,460,0,0,0,452,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22417_22418,466,473,0,0,0,466,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22418_23881,441,447,919,1048,1140,441,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,1048,1140
22418_25976,0,0,884,993,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,993,1076
22426_25067,0,0,17,41,64,0,0,17,41,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22427_23129,351,356,0,0,0,351,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22428_23580,31,39,186,256,448,31,39,0,0,0,0,0,186,256,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22430_23502,107,56,0,0,0,107,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22431_23423,7,9,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
